District,In_Degree_C,Out_Degree_C,Betweenness,Closeness,PageRank,Clustering,TotalCases
Dhaka,0.6842,0.0,0.0,0.6579,0.047,0.5482,38746
Chittagong,0.6316,1.0,0.0,0.6068,0.0453,0.5009,138768
Rajshahi,0.6316,1.0,0.0351,0.6447,0.056,0.4256,60968
Sylhet,0.6316,1.0,0.0,0.6447,0.0545,0.4703,119170
Khulna,0.5789,1.0,0.0,0.5731,0.0408,0.4271,72145
Barisal,0.7368,0.3158,0.0614,0.7368,0.0989,0.4736,46182
Rangpur,0.6316,1.0,0.0,0.6068,0.0451,0.4692,91690
Mymensingh,0.7368,0.0526,0.0,0.7368,0.0618,0.5239,40934
Comilla,0.5789,0.6316,0.0029,0.5731,0.0385,0.4355,55159
Narayanganj,0.6842,0.0,0.0,0.6579,0.0465,0.5438,29236
Gazipur,0.6842,0.7895,0.0643,0.6877,0.058,0.3954,49883
Narsingdi,0.5789,1.0,0.0,0.5731,0.0387,0.4043,72972
Tangail,0.6316,0.0,0.0,0.6233,0.0416,0.5317,10675
Faridpur,0.6316,0.0,0.0,0.6233,0.0448,0.5827,39577
Jessore,0.5789,1.0,0.0,0.5731,0.0432,0.5944,147451
Bogra,0.6842,0.0,0.0,0.6966,0.0557,0.5181,8559
Dinajpur,0.5789,1.0,0.0,0.5731,0.0411,0.4796,102207
Pabna,0.6316,1.0,0.0,0.6068,0.0441,0.5372,124431
Sirajganj,0.5789,1.0,0.0,0.5731,0.0401,0.5277,129290
Cox's Bazar,0.6842,1.0,0.0,0.6877,0.0582,0.6059,145589
